  950$	HTC VIVE Pro HMD (99HANW021-00) Virtual Reality Headset
  940$	Gigabyte Nvidia (GV-N207SGAMING OC-8GC) 8GB RTX 2070 Super GAMING OC PCI-E VGA Card
  920$	MSI Nvidia (RTX 2070 SUPER VENTUS OC) 8G RTX 2070 SUPER Ventus OC PCI-E VGA Card
  900$	Intel (BX80673I79800X) Core i7-9800X X-series 16.5M Cache, 4.40 GHz LGA14A Boxed CPU
  900$	NETGEAR ProSAFE (GS752TP-100AJS) 48-PORT Gigabit PoE SMART Switch with 4 Gigabit SFP Port
  900$	TP-LINK T1600G-52PS (TL-SG2452P) 48-Port Gigabit Smart PoE+ Switch with 4 SFP Slots(Max 384W)
  900$	WD 3.5in Ultrastar DC HC520 12TB (HUH721212ALE604) (0F30146) 256MB 7200 RPM SATA Enterprise HDD
  896$	Gigabyte Nvidia (GV-N207SWF3OC-8GC) 8GB RTX 2070 Super WINDFORCE OC PCI-E VGA Card
  850$	Asus Nvidia (ROG-STRIX-RTX2060S-O8G-GAMING) 8GB RTX 2060 SUPER STRIX OC PCI-E VGA Card
  840$	MSI (Z390 GODLIKE) Intel Z390 S1151 EATX Gaming MB 4xDDR4/4xPCI-E USB TYPE-C Dual GB Lan
  820$	HP Original (CF311A) # 826A Cyan Toner Cartridge - 31,500 pages
  820$	HP Original (CF312A) # 826A Yellow Toner Cartridge - 31,500 pages
  820$	HP Original (CF313A) # 826A Magenta Toner Cartridge - 31,500 pages
  800$	Asus PRIME X299-DELUXE II Intel X299 S2066/8xDDR4/3xPCIEx16/USB3.1/WiFi/BT/M.2/ATX Motherboard
  800$	Asus ROG Crosshair VIII Formula X570/4xDDR4/3x PCI-Ex16/WiFi/BT5.0/M.2/USB3.2/ATX Motherboard
  800$	Gigabyte Nvidia (GV-N206SAORUS-8GC) 8GB RTX 2060 Super AORUS Gaming PCI-E VGA Card
  800$	Intel (BX80684I99900K) CORE i9-9900K up to 5.0Ghz 16MB Cache LGA1151 Coffee Lake Boxed CPU
  800$	MSI Nvidia (RTX 2070 GAMING Z 8G) 8G RTX 2070 GAMING Z PCI-E VGA Card
  800$	MSI PRESTIGE X570 CREATION AM4 4xDDR/3xPCIEx16/M.2/WiFi/BT5.0/USB3.2/E-ATX Motherboard
  790$	AMD Ryzen 9 3900X (100-100000023BOX) 3.8Ghz/AM4/70M/105W Boxed CPU w Wraith Prism Cooler
  770$	Asus ROG Rapture (GT-AX11000) AX11000 Wireless Tri-Band Gaming Router with 2.5Gbps Gaming Port
  770$	Seagate IronWolf NAS 3.5in 14TB (ST14000VN0008) SATA3 7200rpm 256MB cache Hard Disk Drive
  760$	MSI Nvidia (RTX 2060 SUPER GAMING X) 8G RTX 2060 SUPER GAMING X PCI-E VGA Card
  757$	HP Original (CF301A) # 827A Cyan Toner Cartridge - 32,000 pages
  757$	HP Original (CF302A) # 827A Yellow Toner Cartridge - 32,000 pages
  757$	HP Original (CF303A) # 827A Magenta Toner Cartridge - 32,000 pages
  740$	Intel (BX80684I99900KF) CORE i9-9900KF up to 5Ghz 16M Cache LGA1151 Coffee Lake w/o Heatsink/Fan
  730$	Gigabyte Nvidia (GV-N206SGAMING OC-8GC) 8GB RTX 2060 Super GAMING OC PCI-E VGA Card
  730$	MSI Nvidia (RTX 2060 Super Ventus OC) 8G RTX 2060 Super Ventus OC PCI-E VGA Card
  724$	Synology DiskStation (DS918+) 4-Bay 3.5in Diskless 2xGbE NAS (SMB) - 4GB RAM
  710$	MSI Nvidia (RTX 2060 Super AERO ITX) 8G RTX 2060 SUPER AERO ITX PCI-E VGA Card
  700$	+ LG 43in (43UD79-B) IPS 4K 3840x2160 5ms HDMI/DP/USB-C Tilt SPK, Flicker Safe VESA Monitor
  700$	Corsair Obsidian 1000D (CC-9011148-WW) Super Tower E-ATX Case wtih Tempered Glass
  700$	Gigabyte Radeon (R57XT-8GD-B) 8GB RX 5700 XT PCI-E VGA Card
  700$	HP Original (C9731A) # 645A Cyan Toner Cartridge - 12,000 pages
  700$	HP Original (C9732A) # 645A Yellow Toner Cartridge - 12,000 pages
  700$	HP Original (C9733A) # 645A Magenta Toner Cartridge - 12,000 pages
  700$	Intel 8th Gen NUC (BOXNUC8I7BEH/4) Bean Canyon i7-8559U 2.5IN HDMI/TB3/USB3/M2 DDR4 GBE Barebone
  700$	MSI OPTIX (MAG321CURV) 31.5in curved 3840x2160 frameless 60Hz 4ms HDMI/DP/Type-C Gaming Monitor
  700$	MSI OPTIX (MAG321CURV4K) 31.5in curved 3840x2160 frameless 60Hz 4ms HDMI/DP/Type-C Gaming Monitor
  700$	QNAP (TS-453BE-4G) 4 Bay NAS 4GB RAM
  696$	HP Original (CE341A) # 651A Cyan Toner Cartridge - 16,000 pages
  696$	HP Original (CE342A) # 651A Magenta Toner Cartridge - 16,000 pages
  696$	HP Original (CE343A) # 651A Yellow Toner Cartridge - 16,000 pages
  690$	Asus ROG ZENITH EXTREME AMD X399/8xDDR4/3xPCIEx16/USB3.1 (Gen2)/M.2/WiFi/BT/ATX Motherboard
  690$	Samsung 860 QVO (MZ-76Q4T0BW) 4TB SATAIII 2.5in 7mm V-Nand 4bit MLC SSD Solid State Drive
  680$	Asus Radeon (RX5700XT-8G) 8GB RX 5700 XT PCI-E VGA Card
  680$	MSI (Radeon RX 5700 XT 8G) 8GB RX 5700 XT PCI-E VGA Card
  680$	WD Black SN750 (WDS200T3X0C) 2TB M.2 NVMe SSD Solid State Drive
  665$	Gigabyte Nvidia (GV-N206SWF2OC-8GD) 8GB RTX 2060 Super WINDFORCE OC PCI-E VGA Card
  656$	Samsung PLS 32in (LS32D85KTSN/XY) 5ms 2560x1440 PIVOT HDMI DP DVI HAS LED Backlight LCD Monitor
  650$	Asus ROG Crosshair VIII HERO (WI-FI) X570/4xDDR4/3xPCI-Ex16/WiFi/BT5.0/USB3.2/ATX Motherboard
  650$	Corsair AX1600i (CP-9020183-AU) 80+ Titanium Certified Fully Modular 1600W Digital ATX PSU
  650$	D-Link (DSL-5300) COBRA AC5300 Wave 2 MU-MIMO Wi-Fi Modem Router (4 x Gigabit LAN, 1 x USB3.0))
  650$	MSI OPTIX (MAG322CQRV) 31.5in Curved WQHD 2560x1440 frameless 144Hz 1ms DP/HDMI Gaming Monitor
  650$	WD 3.5in Ultrastar DC HC510 10TB (HUH721010ALE604) (OF27606) 256MB SATA3 Enterprise HDD
  644$	HP Original (CE271A) # 650A Cyan Toner Cartridge - 15,000 pages
  644$	HP Original (CE272A) # 650A Yellow Toner Cartridge - 15,000 pages
  644$	HP Original (CE273A) # 650A Magenta Toner Cartridge - 15,000 pages
  640$	Sapphire Radeon (21293-01-40G) 8GB RX 5700 XT PCI-E VGA Card
